team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Northern Iowa,#4B116F,#FFCC00,,,,,UNI,MVC,FCS,FCS,2460,IANO,2082,D:/NCAA_Images/FCS/_primary/Northern_Iowa.p1_500.png,D:/NCAA_Images/FCS/_primary/Northern_Iowa.p2_500.png,
Northwestern State,#663399,#FF6600,,,,,NWST,SL,FCS,FCS,2466,LANW,2083,D:/NCAA_Images/FCS/_primary/Northwestern_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Northwestern_State.p2_500.png,
Penn,#011F5B,#990000,,,,,PENN,IVY,FCS,FCS,219,PAUN,2084,D:/NCAA_Images/FCS/_primary/Penn.p1_500.png,D:/NCAA_Images/FCS/_primary/Penn.p2_500.png,
Portland State,#154734,#FFFFFF,,,,,PRST,SKY,FCS,FCS,2502,ORPS,2085,D:/NCAA_Images/FCS/_primary/Portland_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Portland_State.p2_500.png,
Prairie View A&M,#4F2582,#FEC235,,,,,PVAM,SWAC,FCS,FCS,2504,TXPV,2086,D:/NCAA_Images/FCS/_primary/Prairie_View_A&M.p1_500.png,D:/NCAA_Images/FCS/_primary/Prairie_View_A&M.p2_500.png,
Presbyterian,#0060A9,#9D2235,#B2B4B2,,,,PRES,FCSI,FCS,FCS,2506,SCPR,2087,D:/NCAA_Images/FCS/_primary/Presbyterian.p1_500.png,D:/NCAA_Images/FCS/_primary/Presbyterian.p2_500.png,
Princeton,#EE7F2D,#000000,,,,,PRIN,IVY,FCS,FCS,163,NJPR,2088,D:/NCAA_Images/FCS/_primary/Princeton.p1_500.png,D:/NCAA_Images/FCS/_primary/Princeton.p2_500.png,
Rhode Island,#75B2DD,#002147,#FFFFFF,,,,URI,CAA,FCS,FCS,227,RIUN,2089,D:/NCAA_Images/FCS/_primary/Rhode_Island.p1_500.png,D:/NCAA_Images/FCS/_primary/Rhode_Island.p2_500.png,
Richmond,#BA0C2F,#0C2340,#C1C6C8,#8A8D8F,#000000,#FFFFFF,RICH,CAA,FCS,FCS,257,VARI,2090,D:/NCAA_Images/FCS/_primary/Richmond.p1_500.png,D:/NCAA_Images/FCS/_primary/Richmond.p2_500.png,
Robert Morris,#14234B,#E51937,#B2B1AE,#000000,#FFFFFF,,RMU,FCSI,FCS,FCS,2523,PARM,2091,D:/NCAA_Images/FCS/_primary/Robert_Morris.p1_500.png,D:/NCAA_Images/FCS/_primary/Robert_Morris.p2_500.png,
Sacramento State,#043927,#C4B581,,,,,SAC,SKY,FCS,FCS,16,CASA,2092,D:/NCAA_Images/FCS/_primary/Sacramento_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Sacramento_State.p2_500.png,
Sacred Heart,#BA0C2F,#262626,,,,,SHU,NEC,FCS,FCS,2529,CTSH,2093,D:/NCAA_Images/FCS/_primary/Sacred_Heart.p1_500.png,D:/NCAA_Images/FCS/_primary/Sacred_Heart.p2_500.png,
Saint Francis,#BD1F25,#8E908F,,,,,SFU,NEC,FCS,FCS,2598,PASF,2094,D:/NCAA_Images/FCS/_primary/Saint_Francis.p1_500.png,D:/NCAA_Images/FCS/_primary/Saint_Francis.p2_500.png,
Sam Houston State,#FE5000,#FFFFFF,,,,,SHSU,SL,FCS,FCS,2534,TXSH,2095,D:/NCAA_Images/FCS/_primary/Sam_Houston_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Sam_Houston_State.p2_500.png,
Samford,#0C2340,#BD1F2D,,,,,SAM,SC,FCS,FCS,2535,ALSM,2096,D:/NCAA_Images/FCS/_primary/Samford.p1_500.png,D:/NCAA_Images/FCS/_primary/Samford.p2_500.png,
San Diego,#003B70,#75BEE9,,,,,USD,PIO,FCS,FCS,301,CASU,2097,D:/NCAA_Images/FCS/_primary/San_Diego.p1_500.png,D:/NCAA_Images/FCS/_primary/San_Diego.p2_500.png,
South Carolina State,#862633,#141F78,,,,,SCST,MEAC,FCS,FCS,2569,SCST,2098,D:/NCAA_Images/FCS/_primary/South_Carolina_State.p1_500.png,D:/NCAA_Images/FCS/_primary/South_Carolina_State.p2_500.png,
South Dakota,#AD0000,#000000,,,,,SDAK,MVC,FCS,FCS,233,SDVE,2099,D:/NCAA_Images/FCS/_primary/South_Dakota.p1_500.png,D:/NCAA_Images/FCS/_primary/South_Dakota.p2_500.png,
South Dakota State,#FFD100,#0033A0,,,,,SDSU,MVC,FCS,FCS,2571,SDST,2100,D:/NCAA_Images/FCS/_primary/South_Dakota_State.p1_500.png,D:/NCAA_Images/FCS/_primary/South_Dakota_State.p2_500.png,
Southeast Missouri State,#C8102E,#000000,,,,,SEMO,OVC,FCS,FCS,2546,MOSE,2101,D:/NCAA_Images/FCS/_primary/Southeast_Missouri_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Southeast_Missouri_State.p2_500.png,
Southeastern Louisiana,#006847,#E0AA0F,,,,,SELA,SL,FCS,FCS,2545,LASE,2102,D:/NCAA_Images/FCS/_primary/Southeastern_Louisiana.p1_500.png,D:/NCAA_Images/FCS/_primary/Southeastern_Louisiana.p2_500.png,
Southern,#78B3E0,#FFC72C,,,,,SOU,SWAC,FCS,FCS,2582,LASO,2103,D:/NCAA_Images/FCS/_primary/Southern.p1_500.png,D:/NCAA_Images/FCS/_primary/Southern.p2_500.png,
Southern Illinois,#660000,#FFFFFF,,,,,SIU,MVC,FCS,FCS,79,ILSO,2104,D:/NCAA_Images/FCS/_primary/Southern_Illinois.p1_500.png,D:/NCAA_Images/FCS/_primary/Southern_Illinois.p2_500.png,
Southern Utah,#C41425,#231F20,,,,,SUU,SKY,FCS,FCS,253,UTSO,2105,D:/NCAA_Images/FCS/_primary/Southern_Utah.p1_500.png,D:/NCAA_Images/FCS/_primary/Southern_Utah.p2_500.png,
Stephen F. Austin,#5F259F,#060808,#75787B,#B1B3B3,#FFFFFF,,SFA,SL,FCS,FCS,2617,TXSF,2106,D:/NCAA_Images/FCS/_primary/Stephen_F._Austin.p1_500.png,D:/NCAA_Images/FCS/_primary/Stephen_F._Austin.p2_500.png,
Stetson,#006747,#FFFFFF,,,,,STET,PIO,FCS,FCS,56,FLSS,2107,D:/NCAA_Images/FCS/_primary/Stetson.p1_500.png,D:/NCAA_Images/FCS/_primary/Stetson.p2_500.png,
