team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Alabama A&M,#862633,#FFFFFF,,,,,AAMU,SWAC,FCS,FCS,2010,ALAM,2002,D:/NCAA_Images/FCS/_primary/Alabama_A&M.p1_500.png,D:/NCAA_Images/FCS/_primary/Alabama_A&M.p2_500.png,
Alabama State,#C49E0D,#000000,,,,,ALST,SWAC,FCS,FCS,2011,ALST,2003,D:/NCAA_Images/FCS/_primary/Alabama_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Alabama_State.p2_500.png,
Albany,#46166B,#EEB211,#A2AAAD,#FFFFFF,#000000,,ALBY,CAA,FCS,FCS,399,NYAB,2004,D:/NCAA_Images/FCS/_primary/Albany.p1_500.png,D:/NCAA_Images/FCS/_primary/Albany.p2_500.png,
Alcorn State,#46166A,#E9A713,,,,,ALCN,SWAC,FCS,FCS,2016,MSAL,2005,D:/NCAA_Images/FCS/_primary/Alcorn_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Alcorn_State.p2_500.png,
Arkansas-Pine Bluff,#EEB310,#000000,,,,,UAPB,SWAC,FCS,FCS,2029,ARPB,2006,D:/NCAA_Images/FCS/_primary/Arkansas-Pine_Bluff.p1_500.png,D:/NCAA_Images/FCS/_primary/Arkansas-Pine_Bluff.p2_500.png,
Austin Peay,#C41E3A,#FFFFFF,#000000,#A2AAAD,,,PEAY,OVC,FCS,FCS,2046,TNAP,2007,D:/NCAA_Images/FCS/_primary/Austin_Peay.p1_500.png,D:/NCAA_Images/FCS/_primary/Austin_Peay.p2_500.png,
Bethune-Cookman,#6F263D,#F2A900,,,,,BCU,MEAC,FCS,FCS,2065,FLBC,2008,D:/NCAA_Images/FCS/_primary/Bethune-Cookman.p1_500.png,D:/NCAA_Images/FCS/_primary/Bethune-Cookman.p2_500.png,
Brown,#4E3629,#ED1C24,,,,,BRWN,IVY,FCS,FCS,225,RIBR,2009,D:/NCAA_Images/FCS/_primary/Brown.p1_500.png,D:/NCAA_Images/FCS/_primary/Brown.p2_500.png,
Bryant,#231F20,#B09863,,,,,BRY,NEC,FCS,FCS,2803,RIBT,2010,D:/NCAA_Images/FCS/_primary/Bryant.p1_500.png,D:/NCAA_Images/FCS/_primary/Bryant.p2_500.png,
Bucknell,#003865,#E87722,,,,,BUCK,PAT,FCS,FCS,2083,PABU,2011,D:/NCAA_Images/FCS/_primary/Bucknell.p1_500.png,D:/NCAA_Images/FCS/_primary/Bucknell.p2_500.png,
Butler,#13294B,#FFFFFF,,,,,BUT,PIO,FCS,FCS,2086,INBU,2012,D:/NCAA_Images/FCS/_primary/Butler.p1_500.png,D:/NCAA_Images/FCS/_primary/Butler.p2_500.png,
Cal Poly,#003831,#FFE395,,,,,CP,SKY,FCS,FCS,13,CASL,2013,D:/NCAA_Images/FCS/_primary/Cal_Poly.p1_500.png,D:/NCAA_Images/FCS/_primary/Cal_Poly.p2_500.png,
Campbell,#EA7125,#1E252B,#FFFFFF,,,,CAMP,BS,FCS,FCS,2097,NCCM,2014,D:/NCAA_Images/FCS/_primary/Campbell.p1_500.png,D:/NCAA_Images/FCS/_primary/Campbell.p2_500.png,
Central Arkansas,#4F2D7F,#818A8F,#000000,#FFFFFF,,,UCA,SL,FCS,FCS,2110,ARCE,2015,D:/NCAA_Images/FCS/_primary/Central_Arkansas.p1_500.png,D:/NCAA_Images/FCS/_primary/Central_Arkansas.p2_500.png,
Central Connecticut,#003087,#FFFFFF,,,,,CCSU,NEC,FCS,FCS,2115,CTCE,2016,D:/NCAA_Images/FCS/_primary/Central_Connecticut.p1_500.png,D:/NCAA_Images/FCS/_primary/Central_Connecticut.p2_500.png,
Charleston Southern,#002855,#A89968,#00254A,#907258,#E4E5E6,#000000,CHSO,BS,FCS,FCS,2127,SCCH,2017,D:/NCAA_Images/FCS/_primary/Charleston_Southern.p1_500.png,D:/NCAA_Images/FCS/_primary/Charleston_Southern.p2_500.png,
Chattanooga,#112E51,#FDB736,,,,,CHAT,SC,FCS,FCS,236,TNCH,2018,D:/NCAA_Images/FCS/_primary/Chattanooga.p1_500.png,D:/NCAA_Images/FCS/_primary/Chattanooga.p2_500.png,
Colgate,#821019,#FFFFFF,,,,,COLG,PAT,FCS,FCS,2142,NYCG,2019,D:/NCAA_Images/FCS/_primary/Colgate.p1_500.png,D:/NCAA_Images/FCS/_primary/Colgate.p2_500.png,
Columbia,#003373,#ACCCE6,,,,,CLMB,IVY,FCS,FCS,171,NYCL,2020,D:/NCAA_Images/FCS/_primary/Columbia.p1_500.png,D:/NCAA_Images/FCS/_primary/Columbia.p2_500.png,
Cornell,#B31B1B,#FFFFFF,,,,,COR,IVY,FCS,FCS,172,NYCN,2021,D:/NCAA_Images/FCS/_primary/Cornell.p1_500.png,D:/NCAA_Images/FCS/_primary/Cornell.p2_500.png,
Dartmouth,#00693E,#FFFFFF,,,,,DART,IVY,FCS,FCS,159,NHDA,2022,D:/NCAA_Images/FCS/_primary/Dartmouth.p1_500.png,D:/NCAA_Images/FCS/_primary/Dartmouth.p2_500.png,
Davidson,#AC1A2F,#000000,,,,,DAV,PIO,FCS,FCS,2166,NCDA,2023,D:/NCAA_Images/FCS/_primary/Davidson.p1_500.png,D:/NCAA_Images/FCS/_primary/Davidson.p2_500.png,
Dayton,#D70036,#002F87,,,,,DAY,PIO,FCS,FCS,2168,OHDA,2024,D:/NCAA_Images/FCS/_primary/Dayton.p1_500.png,D:/NCAA_Images/FCS/_primary/Dayton.p2_500.png,
Delaware,#00539F,#FFD200,#000000,#BDBDBD,#FFFFFF,,DEL,CAA,FCS,FCS,48,DEUN,2025,D:/NCAA_Images/FCS/_primary/Delaware.p1_500.png,D:/NCAA_Images/FCS/_primary/Delaware.p2_500.png,
Delaware State,#EE3124,#72CDF4,,,,,DSU,MEAC,FCS,FCS,2169,DEST,2026,D:/NCAA_Images/FCS/_primary/Delaware_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Delaware_State.p2_500.png,
Dixie State,#BA1C21,#0C233F,#A0A1A2,#FFFFFF,#000000,,DIX,FCSI,FCS,FCS,3101,UTDX,2027,D:/NCAA_Images/FCS/_primary/Dixie_State.p1_500.png,D:/NCAA_Images/FCS/_primary/Dixie_State.p2_500.png,
Drake,#003B73,#FFFFFF,,,,,DRKE,PIO,FCS,FCS,2181,IADR,2028,D:/NCAA_Images/FCS/_primary/Drake.p1_500.png,D:/NCAA_Images/FCS/_primary/Drake.p2_500.png,
Duquesne,#012169,#E40046,,,,,DUQ,NEC,FCS,FCS,2184,PADU,2029,D:/NCAA_Images/FCS/_primary/Duquesne.p1_500.png,D:/NCAA_Images/FCS/_primary/Duquesne.p2_500.png,
East Tennessee State,#041E42,#FFC72C,,,,,ETSU,SC,FCS,FCS,2193,TNEA,2030,D:/NCAA_Images/FCS/_primary/East_Tennessee_State.p1_500.png,D:/NCAA_Images/FCS/_primary/East_Tennessee_State.p2_500.png,
Eastern Illinois,#004C97,#666666,,,,,EIU,OVC,FCS,FCS,2197,ILEA,2031,D:/NCAA_Images/FCS/_primary/Eastern_Illinois.p1_500.png,D:/NCAA_Images/FCS/_primary/Eastern_Illinois.p2_500.png,
Eastern Kentucky,#4C151E,#FFFFFF,#B5B5B5,#000000,,,EKY,OVC,FCS,FCS,2198,KYEA,2032,D:/NCAA_Images/FCS/_primary/Eastern_Kentucky.p1_500.png,D:/NCAA_Images/FCS/_primary/Eastern_Kentucky.p2_500.png,
Eastern Washington,#A10022,#000000,,,,,EWU,SKY,FCS,FCS,331,WAEA,2033,D:/NCAA_Images/FCS/_primary/Eastern_Washington.p1_500.png,D:/NCAA_Images/FCS/_primary/Eastern_Washington.p2_500.png,
Elon,#73000A,#B59A57,#000000,#FFFFFF,,,ELON,CAA,FCS,FCS,2210,NCEL,2034,D:/NCAA_Images/FCS/_primary/Elon.p1_500.png,D:/NCAA_Images/FCS/_primary/Elon.p2_500.png,
Florida A&M,#F4811F,#008344,,,,,FAMU,MEAC,FCS,FCS,50,FLAM,2035,D:/NCAA_Images/FCS/_primary/Florida_A&M.p1_500.png,D:/NCAA_Images/FCS/_primary/Florida_A&M.p2_500.png,
Fordham,#700429,#838070,,,,,FOR,PAT,FCS,FCS,2230,NYFO,2036,D:/NCAA_Images/FCS/_primary/Fordham.p1_500.png,D:/NCAA_Images/FCS/_primary/Fordham.p2_500.png,
